Date,Team 1,Team 2,FT,HT
2008-04-13,Willem II,Feyenoord,3-1,3-0
2008-04-16,Groningen,Ajax,1-2,1-1
2008-04-20,Ajax,Heracles,5-1,3-0
2008-04-20,AZ Alkmaar,Sparta,1-0,1-0
2008-04-20,Feyenoord,Roda JC,3-0,0-0
2008-04-20,Heerenveen,Excelsior,5-0,2-0
2008-04-20,NAC Breda,Nijmegen,1-3,1-1
2008-04-20,Twente,Willem II,2-0,0-0
2008-04-20,Utrecht,Groningen,1-0,0-0
2008-04-20,Vitesse,PSV Eindhoven,0-1,0-0
2008-04-20,VVV Venlo,Graafschap,3-0,0-0
